iter	Passed	Remaining
0	26	7822
1	47	7088
2	71	7061
3	95	7033
4	117	6903
5	138	6800
6	160	6720
7	184	6744
8	206	6665
9	228	6617
10	250	6572
11	271	6514
12	292	6458
13	314	6419
14	335	6379
15	359	6387
16	381	6353
17	403	6326
18	425	6294
19	447	6262
20	469	6232
21	491	6209
22	515	6210
23	537	6182
24	558	6148
25	580	6118
26	603	6098
27	624	6070
28	646	6041
29	668	6013
30	691	6001
31	714	5979
32	737	5963
33	758	5932
34	782	5927
35	806	5913
36	830	5906
37	852	5878
38	875	5856
39	896	5830
40	918	5805
41	941	5785
42	964	5765
43	993	5780
44	1022	5793
45	1053	5815
46	1081	5820
47	1103	5793
48	1126	5769
49	1150	5750
50	1171	5719
51	1196	5708
52	1219	5685
53	1242	5658
54	1264	5632
55	1285	5602
56	1308	5577
57	1331	5555
58	1353	5529
59	1376	5504
60	1397	5477
61	1419	5448
62	1441	5421
63	1462	5394
64	1484	5365
65	1506	5342
66	1551	5394
67	1582	5400
68	1604	5372
69	1630	5358
70	1657	5344
71	1679	5318
72	1700	5288
73	1725	5270
74	1750	5250
75	1772	5222
76	1795	5198
77	1818	5176
78	1840	5150
79	1864	5126
80	1886	5100
81	1908	5073
82	1930	5047
83	1953	5024
84	1977	5002
85	2000	4978
86	2023	4954
87	2047	4932
88	2072	4912
89	2095	4888
90	2116	4861
91	2138	4835
92	2161	4811
93	2185	4788
94	2206	4762
95	2229	4736
96	2250	4710
97	2274	4687
98	2297	4663
99	2318	4637
100	2340	4611
101	2362	4586
102	2383	4559
103	2405	4533
104	2426	4507
105	2448	4481
106	2470	4455
107	2491	4429
108	2516	4409
109	2540	4387
110	2561	4361
111	2583	4336
112	2606	4313
113	2628	4289
114	2650	4263
115	2672	4238
116	2695	4215
117	2718	4192
118	2740	4168
119	2763	4144
120	2786	4121
121	2809	4099
122	2833	4077
123	2855	4052
124	2878	4029
125	2901	4006
126	2923	3982
127	2947	3960
128	2972	3940
129	2995	3917
130	3019	3895
131	3042	3872
132	3066	3850
133	3088	3825
134	3110	3802
135	3132	3777
136	3155	3753
137	3177	3729
138	3197	3704
139	3219	3679
140	3243	3657
141	3266	3634
142	3288	3610
143	3310	3586
144	3333	3562
145	3357	3541
146	3380	3518
147	3404	3496
148	3426	3472
149	3448	3448
150	3471	3425
151	3494	3402
152	3517	3379
153	3540	3357
154	3564	3334
155	3589	3313
156	3612	3289
157	3635	3267
158	3657	3243
159	3681	3221
160	3705	3198
161	3727	3175
162	3753	3154
163	3776	3132
164	3800	3109
165	3827	3089
166	3850	3066
167	3872	3042
168	3894	3018
169	3916	2994
170	3941	2973
171	3964	2950
172	3988	2927
173	4011	2904
174	4034	2881
175	4056	2857
176	4078	2834
177	4100	2810
178	4122	2786
179	4145	2763
180	4168	2740
181	4190	2717
182	4212	2693
183	4235	2670
184	4262	2649
185	4284	2625
186	4306	2602
187	4327	2577
188	4349	2554
189	4371	2530
190	4394	2507
191	4417	2484
192	4440	2461
193	4462	2438
194	4485	2415
195	4507	2391
196	4530	2368
197	4553	2345
198	4576	2322
199	4599	2299
200	4622	2276
201	4644	2253
202	4666	2229
203	4689	2206
204	4715	2185
205	4739	2162
206	4761	2139
207	4785	2116
208	4810	2094
209	4832	2070
210	4855	2047
211	4878	2025
212	4900	2001
213	4924	1978
214	4947	1955
215	4971	1933
216	4994	1910
217	5017	1887
218	5043	1865
219	5066	1842
220	5089	1819
221	5114	1796
222	5138	1774
223	5159	1750
224	5183	1727
225	5206	1704
226	5228	1681
227	5252	1658
228	5275	1635
229	5298	1612
230	5320	1589
231	5342	1565
232	5364	1542
233	5386	1519
234	5409	1496
235	5430	1472
236	5452	1449
237	5475	1426
238	5497	1403
239	5521	1380
240	5543	1357
241	5571	1335
242	5594	1312
243	5616	1288
244	5638	1265
245	5660	1242
246	5682	1219
247	5704	1196
248	5726	1172
249	5747	1149
250	5768	1126
251	5790	1103
252	5814	1080
253	5837	1057
254	5859	1034
255	5881	1010
256	5903	987
257	5925	964
258	5947	941
259	5969	918
260	5992	895
261	6018	872
262	6042	850
263	6066	827
264	6090	804
265	6112	781
266	6134	758
267	6157	735
268	6180	712
269	6204	689
270	6226	666
271	6250	643
272	6273	620
273	6295	597
274	6317	574
275	6339	551
276	6362	528
277	6384	505
278	6406	482
279	6430	459
280	6453	436
281	6475	413
282	6498	390
283	6523	367
284	6546	344
285	6568	321
286	6591	298
287	6615	275
288	6637	252
289	6661	229
290	6685	206
291	6707	183
292	6730	160
293	6752	137
294	6775	114
295	6801	91
296	6823	68
297	6847	45
298	6874	22
299	6897	0
